Sn         band Tmax      Mmax   error   ts1            ts2            ts31           ts32           s      error  b      s1     error  s2     error  b1     s3     error  b3     Ttrans    error  Tpt       error     Tend      Mend      error     Ttail     Mtail     error     w0        error     a0        error  max2  error tmax2
sn2003gd     R   nan       nan    nan     52805.3961694  52814.7530242  52845.9425403  53021.7177419  0.76   0.27   13.60  nan    nan    0.76   0.27   13.60  1.02   0.01   16.22  nan       nan    52839.94  0.05      nan       14.09     0.01      nan       16.23     0.01      2.87      0.04      2.20      0.01   nan   nan    nan
sn2003hg     R  52879.50  16.80  0.01     52876.2691532  52973.5725806  52893.0171371  52968.5010081  0.43   0.02   16.88  0.88   0.06   0.16   0.04   16.78  nan    nan    nan    52913.10  2.19   nan       nan       52978.53  17.24     0.10      nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
sn2004dj     R  53220.00  11.42  0.02     53217.5806452  53263.516129   53299.1290323  53469.1935484  0.51   0.04   11.40  nan    nan    0.51   0.04   11.40  0.42   0.01   13.99  nan       nan    53285.02  0.24      nan       11.83     0.01      nan       14.02     0.01      5.27      0.00      2.25      0.01   nan   nan    nan
sn2005au     R  53467.00  16.84  0.03     53464.9354839  53510.5483871  53528.5        53571.8548387  1.14   0.12   16.83  nan    nan    1.14   0.12   16.83  1.69   0.20   18.63  nan       nan    53525.47  0.71      nan       17.48     0.09      nan       18.81     0.12      3.62      0.59      1.18      0.09   nan   nan    nan
sn2005ay     R  53458.00  14.93  0.05     53454.4455645  53535.15625    53645.0191532  53688.3860887  -0.02  0.02   14.90  nan    nan    -0.02  0.02   14.90  nan    nan    nan    nan       nan    53565.44  0.15      nan       15.09     0.03      nan       16.76     0.03      5.59      0.00      2.56      0.03   nan   nan    nan
sn2005bp     R  53503.00  18.59  0.06     53500.8034274  53598.1965726  53507.4485887  53562.9979839  4.71   0.34   18.61  7.48   1.89   2.55   0.59   18.42  nan    nan    nan    53516.17  4.63   nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
sn2005ci     R  53553.66  17.39  0.10     53557.0125     53618.6395161  53541.9883065  53591.6516129  -1.25  0.05   17.38  nan    nan    -1.25  0.05   17.38  nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
sn2005dp     R  53633.14  15.02  0.02     53627.0524194  53655.6310484  53625.1875     53656.3870968  0.53   0.10   15.00  nan    nan    0.53   0.10   15.00  nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
sn2005lw     R   nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
sn2005z      R   nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
sn2006be     R   nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
sn2006ca     R   nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
sn2006ee     R   nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
sn2007aa     R   nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
